Old Key,New Key,Value,Suggested Key,Suggested Key Value
dashboard.tool.description,COULD_NOT_BE_AUTO_REPLACE,"DAMAP guides you through creating a DMP using pre-filled information and customizable templates. It aligns with Science Europe guidelines and national funder requirements, saving you time and effort.",info.how-to-create.tool.description,"DAMAP guides you through creating a DMP using pre-filled information and customizable templates. It aligns with Science Europe guidelines and national funder requirements, saving you time and effort.(2)"
dashboard.tool.bulletpoints.dmp.text,info.about.bulletpoints.dmp.text,Guides you step by step through the different sections of a DMP following the ,,Guides you step by step through the different sections of a DMP following the 
dashboard.tool.bulletpoints.dmp.sepg.text,info.about.bulletpoints.dmp.sepg.text,Science Europe Practical Guide,,Science Europe Practical Guide
dashboard.tool.bulletpoints.dmp.sepg.link,info.about.bulletpoints.dmp.sepg.link,https://www.scienceeurope.org/our-resources/practical-guide-to-the-international-alignment-of-research-data-management,,https://www.scienceeurope.org/our-resources/practical-guide-to-the-international-alignment-of-research-data-management
dashboard.tool.bulletpoints.document,info.about.bulletpoints.document,Exports a pre-filled DMP as a document that you can customize and use for submission to European and national funders,,Exports a pre-filled DMP as a document that you can customize and use for submission to European and national funders
dashboard.tool.bulletpoints.supports,info.about.bulletpoints.supports,Delivers DMPs for FWF and Horizon Europe projects in the funder-specific formats,,Delivers DMPs for FWF and Horizon Europe projects in the funder-specific formats
dashboard.tool.bulletpoints.benefits.text,info.about.bulletpoints.benefits.text,Saves you work by,,Saves you work by
dashboard.tool.bulletpoints.benefits.one,info.about.bulletpoints.benefits.one,Pre-filling content with detailed information from your CRIS application and other systems,,Pre-filling content with detailed information from your CRIS application and other systems
dashboard.tool.bulletpoints.benefits.two,info.about.bulletpoints.benefits.two,"Providing wizards, guidance, and item lists to choose from",,"Providing wizards, guidance, and item lists to choose from"
dashboard.tool.bulletpoints.benefits.three,info.about.bulletpoints.benefits.three,Suggesting answers that you can either comply with or adjust to your needs,,Suggesting answers that you can either comply with or adjust to your needs
dashboard.tool.bulletpoints.madmp.prefix,info.about.bulletpoints.madmp.prefix,Is compatible with the,,Is compatible with the
dashboard.tool.bulletpoints.madmp.rda.text,info.about.bulletpoints.madmp.rda.text,RDA recommendation on machine actionable DMPs,,RDA recommendation on machine actionable DMPs
dashboard.tool.bulletpoints.madmp.rda.link,info.about.bulletpoints.madmp.rda.link,https://doi.org/10.15497/rda00039,,https://doi.org/10.15497/rda00039
dashboard.tool.bulletpoints.madmp.suffix,info.about.bulletpoints.madmp.suffix,.,,.
dashboard.instructions.heading,dashboard.cards.how-to-create.front-side,HOW TO CREATE A DMP,,HOW TO CREATE A DMP
dashboard.instructions.description,COULD_NOT_BE_AUTO_REPLACE,"Learn how to create a DMP step-by-step, including exporting drafts, editing, and updating your DMP according to funder requirements.",info.how-to-create.instructions.description,"Learn how to create a DMP step-by-step, including exporting drafts, editing, and updating your DMP according to funder requirements.(2)"
dashboard.instructions.steps.heading,info.how-to-create.instructions.steps.heading,Follow the tool through steps 1-10 to provide the required information.,,Follow the tool through steps 1-10 to provide the required information.
dashboard.instructions.steps.body,info.how-to-create.instructions.steps.body,"You do not have to do all steps in one go, simply save the status and continue later. You can always go back and jump between steps. You may even invite colleagues from your institution to add information. If you wish, you can version your DMP.",,"You do not have to do all steps in one go, simply save the status and continue later. You can always go back and jump between steps. You may even invite colleagues from your institution to add information. If you wish, you can version your DMP."
dashboard.instructions.export.heading,info.how-to-create.instructions.export.heading,Export the DMP draft as a document.,,Export the DMP draft as a document.
dashboard.instructions.export.body,info.how-to-create.instructions.export.body,"Depending on the funder of your project, the exported DMP will either reflect the funder’s DMP template (FWF, Horizon Europe) or the DMP recommendations by Science Europe. This happens automatically for imported projects.",,"Depending on the funder of your project, the exported DMP will either reflect the funder’s DMP template (FWF, Horizon Europe) or the DMP recommendations by Science Europe. This happens automatically for imported projects."
dashboard.instructions.finalise.heading,info.how-to-create.instructions.finalise.heading,Finalise your DMP in a text editor.,,Finalise your DMP in a text editor.
dashboard.instructions.finalise.body,info.how-to-create.instructions.finalise.body,"The exported DMP is an automatically created draft that you still need to add the finishing touches to. If you have a choice, we recommend editing in Word. Check the content carefully and complete any missing information, including the DMP version details on the cover sheet. Once ready, you can save your DMP as a PDF and provide it to the funder. Please note that you do not need to transfer your changes back into the DMP tool, as the created DMP document will be the basis for subsequent versions, not the tool.",,"The exported DMP is an automatically created draft that you still need to add the finishing touches to. If you have a choice, we recommend editing in Word. Check the content carefully and complete any missing information, including the DMP version details on the cover sheet. Once ready, you can save your DMP as a PDF and provide it to the funder. Please note that you do not need to transfer your changes back into the DMP tool, as the created DMP document will be the basis for subsequent versions, not the tool."
dashboard.instructions.update.heading,info.how-to-create.instructions.update.heading,Regularly update your DMP.,,Regularly update your DMP.
dashboard.instructions.update.body,info.how-to-create.instructions.update.body,"A DMP is a living document and it is recommended to keep it up to date – for yourself, the project team, and the funder. The funders usually ask for updates at certain milestones and at the end of the project. Any changes can easily be done within the document, you do not need the tool for updates. Nevertheless, if you wish to add or change details and create a new version in the DMP tool, for example to update the machine-actionable information, remember to carefully check and complete the exported DMP as described above.",,"A DMP is a living document and it is recommended to keep it up to date – for yourself, the project team, and the funder. The funders usually ask for updates at certain milestones and at the end of the project. Any changes can easily be done within the document, you do not need the tool for updates. Nevertheless, if you wish to add or change details and create a new version in the DMP tool, for example to update the machine-actionable information, remember to carefully check and complete the exported DMP as described above."
dashboard.instructions.create.heading,COULD_NOT_BE_AUTO_REPLACE,CREATE NEW DMP,dashboard.cards.create-new-dmp.front-side,CREATE NEW DMP(2)
dashboard.instructions.create.description,dashboard.cards.create-new-dmp.back-side,"  Start creating a new DMP by following guided steps. Save your progress, invite colleagues, and export the DMP as a document for submission.",,"Start creating a new DMP by following guided steps. Save your progress, invite colleagues, and export the DMP as a document for submission."
gdpr.title,gdpr.title,GDPR,,GDPR
gdpr.info,gdpr.info,"This is the complete list of your personal data that we collect and that is necessary for the application to run. It is comprised of data entries used to manage your access to your DMPs, as well as entries made when you are referenced as Contributor an a DMP.",,"This is the complete list of your personal data that we collect and that is necessary for the application to run. It is comprised of data entries used to manage your access to your DMPs, as well as entries made when you are referenced as Contributor an a DMP."
http.error.standard,http.error.standard,Failed to load resource. ,,Failed to load resource. 
http.error.0,http.error.0,"Service can not be reached, please retry later. If the issue persists contact [insert contact for technical issue].",,"Service can not be reached, please retry later. If the issue persists contact [insert contact for technical issue]."
http.error.404,http.error.404,The requested resource could not be found.,,The requested resource could not be found.
http.error.500,http.error.500,"An error occurred, please contact [insert contact for technical issue].",,"An error occurred, please contact [insert contact for technical issue]."
http.error.503,http.error.503,"Service is currently unavailable, please retry later.",,"Service is currently unavailable, please retry later."
http.error.consent.edit,http.error.consent.edit,Failed to update consent preferences.,,Failed to update consent preferences.
http.error.consent.one,http.error.consent.one,Failed to retrieve consent preferences.,,Failed to retrieve consent preferences.
http.error.fileanalysis,http.error.fileanalysis,Failed to analyse file. ,,Failed to analyse file. 
http.error.repositories.search,http.error.repositories.search,Failed to search repositories. ,,Failed to search repositories. 
http.error.repositories.recommended,http.error.repositories.recommended,Failed to load recommended repositories. ,,Failed to load recommended repositories. 
http.error.repositories.one,http.error.repositories.one,Failed to load repository details. ,,Failed to load repository details. 
http.error.repositories.all,http.error.repositories.all,Failed to load repositories. ,,Failed to load repositories. 
http.error.person.search,MISSING_IN_NEW_JSON,Failed to find person. ,,
http.error.projects,http.error.projects,Failed to load projects. ,,Failed to load projects. 
http.error.projectmembers,http.error.projectmembers,Failed to load project members. ,,Failed to load project members. 
http.error.plans.load.all,http.error.plans.load.all,Failed to load all DMPs. ,,Failed to load all DMPs. 
http.error.plans.load.yours,http.error.plans.load.yours,Failed to load your DMPs. ,,Failed to load your DMPs. 
http.error.plans.load.one,http.error.plans.load.one,Failed to load DMPs. ,,Failed to load DMPs. 
http.error.plans.save,http.error.plans.save,Failed to save DMP. ,,Failed to save DMP. 
http.error.plans.update,http.error.plans.update,Failed to update DMP. ,,Failed to update DMP. 
http.error.plans.delete,http.error.plans.delete,Failed to delete DMP. ,,Failed to delete DMP. 
http.error.storages,http.error.storages,Failed to load storages. ,,Failed to load storages. 
http.error.storageErrors.stillInUse,http.error.storageErrors.stillInUse,Storage is used in at least one DMP and therefore cannot be deleted.,,Storage is used in at least one DMP and therefore cannot be deleted.
http.error.storageErrors.lastTranslation,http.error.storageErrors.lastTranslation,The last translation for a given storage cannot be deleted.,,The last translation for a given storage cannot be deleted.
http.error.storageErrors.invalidUrl,http.error.storageErrors.invalidUrl,The provided URL is not valid.,,The provided URL is not valid.
http.error.versions.load,http.error.versions.load,Failed to load DMP versions. ,,Failed to load DMP versions. 
http.error.versions.save,http.error.versions.save,Failed to save DMP version. ,,Failed to save DMP version. 
http.error.versions.revision,http.error.versions.revision,Failed to load DMP revision. ,,Failed to load DMP revision. 
http.error.openaire,http.error.openaire,"Failed to get dataset information from OpenAIRE, please retry later.",,"Failed to get dataset information from OpenAIRE, please retry later."
http.error.document,http.error.document,An unexpected error occurred while generating your document. If the issue persists contact [insert contact for technical issue].,,An unexpected error occurred while generating your document. If the issue persists contact [insert contact for technical issue].
http.error.access.load,http.error.access.load,Failed to load access information. ,,Failed to load access information. 
http.error.access.save,http.error.access.save,Failed to update access. ,,Failed to update access. 
http.error.access.delete,http.error.access.delete,Failed to remove access. ,,Failed to remove access. 
http.error.admin.recommended-repositories.load,http.error.recommended-repositories.load,Failed to load recommended repositories.,,Failed to load recommended repositories.
http.error.admin.recommended-repositories.save,http.error.recommended-repositories.save,Failed to create recommended repository.,,Failed to create recommended repository.
http.error.admin.recommended-repositories.delete,http.error.recommended-repositories.delete,Failed to delete recommended repository.,,Failed to delete recommended repository.
http.success.storage.translations.add,http.success.storage.translations.add,Storage translation created successfully.,,Storage translation created successfully.
http.success.storage.translations.edit,http.success.storage.translations.edit,Storage translation updated successfully.,,Storage translation updated successfully.
http.success.storage.translations.delete,http.success.storage.translations.delete,Storage translation deleted successfully.,,Storage translation deleted successfully.
http.success.storage.delete,http.success.storage.delete,Storage deleted successfully.,,Storage deleted successfully.
http.success.storage.add,http.success.storage.add,Storage created successfully.,,Storage created successfully.
http.success.storage.edit,http.success.storage.edit,Storage updated successfully.,,Storage updated successfully.
http.success.admin.recommended-repositories.delete,http.success.recommended-repositories.delete,Repository deleted successfully.,,Repository deleted successfully.
dmp.steps.project.success,dmp.steps.project.success,Updated project information!,,Updated project information!
dmp.steps.project.input.title,dmp.steps.project.input.title,Project title,,Project title
dmp.steps.project.input.description,dmp.steps.project.input.short.description,Project description,,Project description
dmp.steps.project.input.info,dmp.steps.project.input.info,Project information,,Project information
dmp.steps.project.input.button.existing,dmp.steps.project.input.button.existing,Update project info,,Update project info
dmp.steps.project.input.button.new,dmp.steps.project.input.button.new,Add project,,Add project
dmp.steps.project.input.acronym,dmp.steps.project.input.acronym,Acronym,,Acronym
dmp.steps.project.input.date,dmp.steps.project.input.date,Start and end date,,Start and end date
dmp.steps.project.input.datehint,dmp.steps.project.input.datehint,DD/MM/YYYY – DD/MM/YYYY,,DD/MM/YYYY – DD/MM/YYYY
dmp.steps.project.manual.input,dmp.steps.project.view.button.manual,Input project manually,,Input project manually
dmp.steps.project.list,dmp.steps.project.list,Choose project from the project database,,Choose project from the project database
dmp.steps.project.label,dmp.steps.project.view.button.choose,Choose project,,Choose project
dmp.steps.project.greeting,MISSING_IN_NEW_JSON,"Hi Firstname, let’s get started",,
dmp.steps.project.summaryLine,MISSING_IN_NEW_JSON,Begin creating your DMP by identifying your project.,,
dmp.steps.project.instructions,dmp.steps.project.instructions,"In this step, you choose a project from your institution’s project database (if integrated) or manually input your project.",,"In this step, you choose a project from your institution’s project database (if integrated) or manually input your project."
dmp.steps.project.search,dmp.steps.project.search,Search project...,,Search project...
dmp.steps.project.select,dmp.steps.project.select,Please select the project you want to create a DMP for:,,Please select the project you want to create a DMP for:
dmp.steps.project.selected,dmp.steps.project.selected,Selected project:,,Selected project:
dmp.steps.project.warning.dmp,dmp.steps.project.warning.dmp,A DMP already exists for this project,,A DMP already exists for this project
dmp.steps.project.noprojects,MISSING_IN_NEW_JSON,No projects are assigned to you.,,
dmp.steps.project.loading.load,MISSING_IN_NEW_JSON,Load projects...,,
dmp.steps.project.loading.failed,MISSING_IN_NEW_JSON,Projects could not be loaded.,,
dmp.steps.people.label,dmp.steps.people.label,People involved in data management,,People involved in data management
dmp.steps.people.rightLabel,MISSING_IN_NEW_JSON,Identify data management contributors,,
dmp.steps.people.greeting,MISSING_IN_NEW_JSON,"Welcome to Step 2, Firstname",,
dmp.steps.people.summaryLine,MISSING_IN_NEW_JSON,Identify team members in your project.,,
dmp.steps.people.instructions,dmp.steps.people.instructions,"In this step, you add individuals to the project and provide additional information about them, for example, their role in the project. To mark someone as the contact person click the person-with-envelope icon next to their role. You can change the existing information and add more contributors via the search (choose a search service and start typing the name). Please provide a minimum of one contact person as well as a data manager (it can be the same person).",,"In this step, you add individuals to the project and provide additional information about them, for example, their role in the project. To mark someone as the contact person click the person-with-envelope icon next to their role. You can change the existing information and add more contributors via the search (choose a search service and start typing the name). Please provide a minimum of one contact person as well as a data manager (it can be the same person)."
dmp.steps.people.intro,MISSING_IN_NEW_JSON,"In this step, you add people involved in the project and provide additional info about them, e.g., their role. In this example, the project leader’s info has already been added and marked as the contact person (note icon with person and envelope next to their name). You can add more contributors via the search field (ensure you select the appropriate database, e.g., ORCID), or manually via the “Add contributor manually button”. Please provide a minimum of one contact person as well as a data manager (it can be the same person).",,
dmp.steps.people.search,dmp.steps.people.search,Search for person...,,Search for person...
dmp.steps.people.search.service,dmp.steps.people.search.service,Search service,,Search service
dmp.steps.people.general.search,dmp.steps.people.general.search,Find Contributors:,,Find Contributors:
dmp.steps.people.general.recommendations,dmp.steps.people.general.recommendations,Recommended contributors:,,Recommended contributors:
dmp.steps.people.general.addAll,dmp.steps.people.general.addAll,Add all contributors,,Add all contributors
dmp.steps.people.contributor.search,dmp.steps.people.view.button.searchContributor,Search contributor,,Search contributor
dmp.steps.people.contributor.add,dmp.steps.people.contributor.add,Add as contributor,,Add as contributor
dmp.steps.people.contributor.remove,dmp.steps.people.contributor.remove,Remove from contributors,,Remove from contributors
dmp.steps.people.contributor.role,dmp.steps.people.contributor.role,Role,,Role
dmp.steps.people.contact.person,dmp.steps.people.contact.person,Contact person,,Contact person
dmp.steps.people.contact.contributor,MISSING_IN_NEW_JSON,Change to contributor,,
dmp.steps.people.contact.add,dmp.steps.people.contact.add,Set as contact,,Set as contact
dmp.steps.people.contact.remove,dmp.steps.people.contact.remove,Remove contact person,,Remove contact person
dmp.steps.people.contact.edit,dmp.steps.people.contact.edit,Edit contact person,,Edit contact person
dmp.steps.people.contact.editContributor,dmp.steps.people.contact.editContributor,Edit contributor,,Edit contributor
dmp.steps.people.contact.update,dmp.steps.people.contact.update,Update,,Update(3)
dmp.steps.people.contact.cancel,dmp.steps.people.contact.cancel,Cancel,,Cancel(11)
dmp.steps.people.contact.title,dmp.steps.people.contact.title,Project contact,,Project contact
dmp.steps.people.contact.info,dmp.steps.people.contact.info,Select a contact from the list of contributors using the button,,Select a contact from the list of contributors using the button
dmp.steps.people.manual.input.show,MISSING_IN_NEW_JSON,Add contributor manually,,
dmp.steps.people.manual.input.hide,dmp.steps.people.view.button.manualContributor,Input contributor manually,,Input contributor manually
dmp.steps.people.manual.input.tooltip,MISSING_IN_NEW_JSON,Use to add project contributor not found in database above,,
dmp.steps.people.manual.input.question.firstname,dmp.steps.people.manual.input.question.firstname,First name,,First name
dmp.steps.people.manual.input.question.lastname,dmp.steps.people.manual.input.question.lastname,Last name,,Last name
dmp.steps.people.manual.input.question.mbox,dmp.steps.people.manual.input.question.mbox,e-mail address,,e-mail address(2)
dmp.steps.people.manual.input.question.orcid,dmp.steps.people.manual.input.question.orcid,ORCID ID,,ORCID ID
dmp.steps.people.nopeople,dmp.steps.people.nopeople,No recommended contributors available,,No recommended contributors available
dmp.steps.people.confirm.dialog.heading,dmp.steps.people.delete.dialog.heading,Remove contributor,,Remove contributor
dmp.steps.people.confirm.dialog.question,dmp.steps.people.delete.dialog.question,Are you sure you want to remove this contributor?\n  They are responsible for the deletion of the following datasets:,,Are you sure you want to remove this contributor?\n  They are responsible for the deletion of the following datasets:
dmp.steps.people.confirm.dialog.button.confirm,dmp.steps.people.delete.dialog.button.confirm,Confirm,,Confirm
dmp.steps.people.confirm.dialog.button.cancel,COULD_NOT_BE_AUTO_REPLACE,Cancel,dmp.steps.people.delete.dialog.button.cancel,Cancel(11)
dmp.steps.data.specify.label,dmp.steps.data.specify.label,Specify research data,,Specify research data
dmp.steps.data.specify.greeting,MISSING_IN_NEW_JSON,"Let’s talk about data, Firstname",,
dmp.steps.data.specify.summaryLine,MISSING_IN_NEW_JSON,Describe your research data.,,
dmp.steps.data.specify.instructions,dmp.steps.data.specify.instructions,"In this step, you specify the datasets (i.e., groups of data with similar properties) you will produce or reuse in your project.",,"In this step, you specify the datasets (i.e., groups of data with similar properties) you will produce or reuse in your project."
dmp.steps.data.specify.intro.default,dmp.steps.data.specify.intro.default,Research data comes in all forms and sizes. The table below helps you to describe the data sets (i.e. groups of data with similar properties) you are expecting to create during the project.,,Research data comes in all forms and sizes. The table below helps you to describe the data sets (i.e. groups of data with similar properties) you are expecting to create during the project.
dmp.steps.data.specify.intro.reused,dmp.steps.data.specify.intro.reused,Research data comes in all forms and sizes. The table below helps you to describe the data sets (i.e. groups of data with similar properties) you are expecting to reuse during the project.,,Research data comes in all forms and sizes. The table below helps you to describe the data sets (i.e. groups of data with similar properties) you are expecting to reuse during the project.
dmp.steps.data.specify.question.kind,dmp.steps.data.specify.question.kind,What kinds of research data will you create?,,What kinds of research data will you create?
dmp.steps.data.specify.question.datasets,MISSING_IN_NEW_JSON,Create names for your datasets,,
dmp.steps.data.specify.question.nodata,dmp.steps.data.specify.question.long.noData,Please explain why you won't create or analyse any research data.,,Please explain why you won't create or analyse any research data.
dmp.steps.data.specify.question.reused,dmp.steps.data.specify.question.reused,What kinds of research data will you reuse?,,What kinds of research data will you reuse?
dmp.steps.data.specify.answer.kind.unknown,dmp.steps.data.specify.answer.unknownYet,I don't know yet.,,I don't know yet.
dmp.steps.data.specify.answer.kind.none,dmp.steps.data.specify.answer.none,No data will be created or analysed.,,No data will be created or analysed.
dmp.steps.data.specify.answer.kind.reuse.none,COULD_NOT_BE_AUTO_REPLACE,No data will be reused.,dmp.steps.summary.data.specify.datasets.none.reused,No data will be reused.
dmp.steps.data.specify.answer.kind.specify,dmp.steps.data.specify.answer.defineDatasets,Specify datasets.,,Specify datasets.
dmp.steps.data.specify.tab.manual,MISSING_IN_NEW_JSON,Manually,,
dmp.steps.data.specify.tab.upload,dmp.steps.data.specify.button.upload,Upload sample data,,Upload sample data
dmp.steps.data.specify.tab.cancel,COULD_NOT_BE_AUTO_REPLACE,Cancel,dmp.steps.data.specify.dialog.button.cancel,Cancel(11)
dmp.steps.data.specify.tab.doi,MISSING_IN_NEW_JSON,Enter DOI,,
dmp.steps.data.specify.tab.access,dmp.steps.storage.view.button.access,Access rights,,Access rights
dmp.steps.data.specify.tab.storage,COULD_NOT_BE_AUTO_REPLACE,Storage,dmp.steps.storage.view.button.storage,Storage(2)
dmp.steps.data.specify.tab.introStorage,MISSING_IN_NEW_JSON,This step helps you to document who is allowed to see or edit your data in the project phase and to find good storage and backup solutions for your data.,,
dmp.steps.data.specify.button.add.manual,dmp.steps.data.specify.button.addManual,Add dataset manually,,Add dataset manually
dmp.steps.data.specify.button.add.doi,COULD_NOT_BE_AUTO_REPLACE,Add dataset,dmp.steps.data.specify.button.addFromDoi,Add dataset(2)
dmp.steps.data.specify.table.heading.default,COULD_NOT_BE_AUTO_REPLACE,Data,license-wizard.answer.data,Data
dmp.steps.data.specify.table.heading.reused,dmp.steps.data.specify.view.button.reused,Existing data,,Existing data
dmp.steps.data.specify.table.heading.new,dmp.steps.data.specify.view.button.new,New data,,New data
dmp.steps.data.specify.table.header.dataset,dmp.steps.data.specify.table.header.dataset,Dataset,,Dataset(2)
dmp.steps.data.specify.table.header.datatype,dmp.steps.data.specify.table.header.datatype,Datatype,,Datatype
dmp.steps.data.specify.table.header.fileFormat,dmp.steps.data.specify.table.header.fileFormat,File Format,,File Format(2)
dmp.steps.data.specify.table.header.size,dmp.steps.data.specify.table.header.size,Size,,Size(2)
dmp.steps.data.specify.table.header.comment,MISSING_IN_NEW_JSON,Comment,,
dmp.steps.data.specify.table.header.actions,dmp.steps.data.specify.table.header.actions,Actions,,Actions(2)
dmp.steps.data.specify.table.header.description,dmp.steps.data.specify.table.header.description,Description,,Description(6)
dmp.steps.data.specify.table.header.source,dmp.steps.data.specify.table.header.source,Source,,Source(2)
dmp.steps.data.specify.table.header.license,dmp.steps.data.specify.table.header.license,License,,License(3)
dmp.steps.data.specify.dialog.add,COULD_NOT_BE_AUTO_REPLACE,Add dataset,dmp.steps.data.specify.dialog.title.create,Add dataset(2)
dmp.steps.data.specify.dialog.edit,dmp.steps.data.specify.dialog.edit,Edit dataset,,Edit dataset
dmp.steps.data.specify.dialog.view,MISSING_IN_NEW_JSON,View dataset,,
dmp.steps.data.specify.dialog.title,dmp.steps.data.specify.dialog.field.title,Dataset title,,Dataset title
dmp.steps.data.specify.dialog.fileFormat,dmp.steps.data.specify.dialog.fileFormat,File Format,,File Format(2)
dmp.steps.data.specify.dialog.fileFormat.info,dmp.steps.data.specify.dialog.fileFormat.info,Specify mime type (e.g. image/png) or file format (png),,Specify mime type (e.g. image/png) or file format (png)
dmp.steps.data.specify.dialog.type,dmp.steps.data.specify.dialog.type,Estimated type,,Estimated type
dmp.steps.data.specify.dialog.size,dmp.steps.data.specify.dialog.size,Estimated size,,Estimated size
dmp.steps.data.specify.dialog.description,dmp.steps.data.specify.dialog.description,Description,,Description(6)
dmp.steps.data.specify.dialog.technicalResource,dmp.steps.data.specify.dialog.technicalResource,Technical Resource,,Technical Resource
dmp.steps.data.specify.dialog.source,dmp.steps.data.specify.dialog.source,Source,,Source(2)
dmp.steps.data.specify.dialog.license,COULD_NOT_BE_AUTO_REPLACE,License,dmp.steps.data.specify.table.header.license,License(3)
dmp.steps.data.specify.dialog.identifier,MISSING_IN_NEW_JSON,Identifier,,
dmp.steps.data.specify.dialog.button.addTechnicalResource,dmp.steps.data.specify.dialog.button.addTechnicalResource,Add new technical resource,,Add new technical resource
dmp.steps.data.specify.dialog.button.add,dmp.steps.data.specify.dialog.button.add,Add,,Add(4)
dmp.steps.data.specify.dialog.button.update,dmp.steps.data.specify.dialog.button.update,Update,,Update(3)
dmp.steps.data.specify.dialog.button.cancel,dmp.steps.data.specify.dialog.button.cancel,Cancel,,Cancel(11)
dmp.steps.data.specify.dialog.button.close,dmp.steps.data.specify.dialog.button.close,Close,,Close
dmp.steps.data.specify.doi.search,dmp.steps.data.specify.doi.search,Enter DOI...,,Enter DOI...
dmp.steps.data.specify.doi.not.found,dmp.steps.data.specify.doi.notFound,No dataset found.,,No dataset found.
dmp.steps.data.access.heading,MISSING_IN_NEW_JSON,Planned access rights for all datasets,,
dmp.steps.data.access.question.dataset,dmp.steps.data.access.question.dataset,Dataset,,Dataset(2)
dmp.steps.data.access.question.selected,dmp.steps.data.access.question.selected,for selected project members,,for selected project members
dmp.steps.data.access.question.other,dmp.steps.data.access.question.other,for other project members,,for other project members
dmp.steps.data.access.question.public,dmp.steps.data.access.question.public,public,,public
dmp.steps.data.access.question.right,dmp.steps.data.access.question.right,Access right,,Access right
dmp.steps.data.access.aria.selected,dmp.steps.data.access.aria.selected,Access right for selected project members for dataset {{dataset}},,Access right for selected project members for dataset {{dataset}}
dmp.steps.data.access.aria.other,dmp.steps.data.access.aria.other,Access right for other project members for dataset {{dataset}},,Access right for other project members for dataset {{dataset}}
dmp.steps.data.access.aria.public,dmp.steps.data.access.aria.public,Access right for the public for dataset  {{dataset}},,Access right for the public for dataset  {{dataset}}
dmp.steps.data.reuse.rightLabel,dmp.steps.data.reuse.sectionTitle,Data reuse planning,,Data reuse planning
dmp.steps.data.reuse.label,dmp.steps.data.reuse.label,Reuse of data,,Reuse of data
dmp.steps.data.reuse.greeting,MISSING_IN_NEW_JSON,"On to Step 9, Firstname",,
dmp.steps.data.reuse.summaryLine,MISSING_IN_NEW_JSON,Consider potential research uses and users of your data sets.,,
dmp.steps.data.reuse.instructions,dmp.steps.data.reuse.instructions,This step helps you think about future research uses or users of your data and what potential users may require to access your data.,,This step helps you think about future research uses or users of your data and what potential users may require to access your data.
dmp.steps.data.reuse.intro,MISSING_IN_NEW_JSON,This step helps you to think about foreseeable research uses or users of your data sets and what potential reusers require to access your data.,,
dmp.steps.data.reuse.question.targetAudience,dmp.steps.data.reuse.question.long.targetAudience,Who is the target audience and who could be interested in reusing the data and why?,,Who is the target audience and who could be interested in reusing the data and why?
dmp.steps.data.reuse.question.tools,MISSING_IN_NEW_JSON,Indicate whether potential users need specific tools or software to access and (re-)use the data.,,
dmp.steps.data.reuse.question.restrictedDataAccess,dmp.steps.data.reuse.question.restrictedDataAccess,"For the following datasets restricted access was selected, explain how others will get access to the data:",,"For the following datasets restricted access was selected, explain how others will get access to the data:"
dmp.steps.data.deletion.question.label,dmp.steps.data.deletion.question.label,"Does this dataset have to be deleted, e.g. for contractual, regulatory, or ethical reasons? If yes, please add an estimated date for the deletion, the reason for deletion, and a responsible person.",,"Does this dataset have to be deleted, e.g. for contractual, regulatory, or ethical reasons? If yes, please add an estimated date for the deletion, the reason for deletion, and a responsible person."
dmp.steps.data.deletion.question.delete,dmp.steps.data.deletion.question.delete,Mark dataset for deletion,,Mark dataset for deletion
dmp.steps.data.deletion.question.date,dmp.steps.data.deletion.question.date,Date of deletion,,Date of deletion(2)
dmp.steps.data.deletion.question.reason,dmp.steps.data.deletion.question.reason,Reason for deletion,,Reason for deletion(2)
dmp.steps.data.deletion.question.person,dmp.steps.data.deletion.question.person,Person responsible for deletion,,Person responsible for deletion(2)
dmp.steps.documentation.label,dmp.steps.documentation.label,Documentation and data quality,,Documentation and data quality(2)
dmp.steps.documentation.greeting,MISSING_IN_NEW_JSON,"Now onto Step 4, Firstname",,
dmp.steps.documentation.summaryLine,MISSING_IN_NEW_JSON,Outline how your data will be organised throughout the project.,,
dmp.steps.documentation.instructions,dmp.steps.documentation.instructions,"This step helps you to provide information on how data will be organised during the project, which data quality control measures will be used, what documentation will be prepared and made available to enable the reuse of data, and which metadata will be provided.",,"This step helps you to provide information on how data will be organised during the project, which data quality control measures will be used, what documentation will be prepared and made available to enable the reuse of data, and which metadata will be provided."
dmp.steps.documentation.intro,MISSING_IN_NEW_JSON,"This step helps you to provide information on how data will be organised during the project, which data quality control measures are used, what documentation will be prepared and made available to enable reuse of data, and which metadata will be provided.",,
dmp.steps.documentation.question.metadata,MISSING_IN_NEW_JSON,"Please indicate which metadata will be provided to help others identify, discover and reuse the data.",,
dmp.steps.documentation.question.datageneration,dmp.steps.data.specify.question.long.dataGeneration,How will the research data be generated or reused and which methods and software will be used?,,How will the research data be generated or reused and which methods and software will be used?
dmp.steps.documentation.question.structure,dmp.steps.documentation.question.long.structure,How will you structure the data and handle versioning?,,How will you structure the data and handle versioning?
dmp.steps.documentation.question.documentation,dmp.steps.documentation.question.long.documentation,How will you provide documentation needed to validate data analysis and facilitate data reuse?,,How will you provide documentation needed to validate data analysis and facilitate data reuse?
dmp.steps.documentation.question.dataQuality,dmp.steps.documentation.question.long.dataQuality,How will the consistency and quality of data collection be controlled?,,How will the consistency and quality of data collection be controlled?
dmp.steps.documentation.question.otherDataQuality,COULD_NOT_BE_AUTO_REPLACE,Please specify what other measures are taken:,dmp.steps.documentation.question.long.otherDataQuality,Please specify what other measures are taken:
